LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004893,E01004893 : Bolton 028B,1.87,36.62,53.44,8.13,6.56,98.5915493,11.41,2.42,12.22,0.43
E01004894,E01004894 : Bolton 028C,4.88,32.97,18.82,36.59,28.99,95.75971731,11.59,2.45,12.27,0.36
E01004901,E01004901 : Bolton 028E,3.95,36.22,64.73,10.08,15.78,99.2248062,12.18,2.66,12.22,0.41
E01033218,E01033218 : Bolton 028F,3.94,38.26,25.79,34.65,27.23,96.20853081,12.17,2.62,13.21,0.41
E01033219,E01033219 : Bolton 028G,2.23,36.86,45.73,23.12,12.37,98.99665552,11.75,2.15,13.31,0.55
E01004816,E01004816 : Bolton 029A,5.66,28.53,7.02,18.39,28.93,69.89966555,15.03,2.31,13.82,0.43
E01004872,E01004872 : Bolton 029B,7.05,23.47,2.12,37.03,41.69,90.40650407,14.84,2.21,13.42,0.4
E01004873,E01004873 : Bolton 029C,7.67,20.85,1.29,6.63,46.6,83.0371567,14.84,2.21,13.42,0.41
E01004875,E01004875 : Bolton 029D,5.45,25.98,9.48,18.96,27.83,94.03669725,14.7,2.14,13.33,0.4
E01004880,E01004880 : Bolton 029E,4.02,27,20.28,0.4,15.82,90.8,14.7,2.14,13.33,0.36
E01004892,E01004892 : Bolton 030A,2.28,32.14,20.73,7.05,14.47,97.74330042,11.66,1.95,12.24,0.45
E01004896,E01004896 : Bolton 030B,4.01,37.13,67.95,1.83,5.13,98.35466179,11.58,1.88,12.01,0.53
E01004899,E01004899 : Bolton 030C,5.75,30.97,26.7,11.81,25.08,94.52495974,12.8,2.21,13.09,0.54
E01004900,E01004900 : Bolton 030D,4.68,38.18,32.8,23.79,26.81,96.93548387,13.44,2.15,13.33,0.41
E01004776,E01004776 : Bolton 031A,5.21,26.28,15.36,51.39,40.05,95.52058111,11.2,2.65,13.11,0.4
E01004895,E01004895 : Bolton 031B,6.48,21.64,13.43,31.51,38.54,96.36363636,11.02,2.29,12.23,0.47
E01004936,E01004936 : Bolton 031C,2.82,30.78,19.23,40.63,30.7,97.42574257,11.33,2.8,12.65,0.36
E01004938,E01004938 : Bolton 031D,9.23,18.63,2.38,20.79,64.33,89.3481717,10.97,2.5,12.23,0.53
E01004939,E01004939 : Bolton 031E,5.75,25.33,18.65,28.89,34.41,95.23809524,11.17,2.7,12.58,0.53
E01004858,E01004858 : Bolton 032A,8.09,21.48,9.94,37.68,52.53,95.39106145,15.74,2.15,13.62,0.37
E01004859,E01004859 : Bolton 032B,11.83,16.91,3.01,36.01,68.63,91.52298851,16.64,2.1,14.18,0.23
E01004860,E01004860 : Bolton 032C,5.58,19.02,3.51,44.36,37.74,94.56681351,16.64,2.1,13.81,0.29
E01004902,E01004902 : Bolton 032D,6.54,19.35,4.89,45.05,41.57,94.31171786,16.99,1.99,14.41,0.27
E01004906,E01004906 : Bolton 032E,6.7,19.6,8.31,44.16,54.33,90.76576577,17.84,2.07,14.61,0.35
E01004861,E01004861 : Bolton 033A,8.73,21.03,9.92,7.82,55.12,89.17293233,15.19,2.18,13.04,0.41
E01004862,E01004862 : Bolton 033B,9.11,17.13,7.99,9.35,63.5,90.50847458,15.64,2.13,13.32,0.41
E01004863,E01004863 : Bolton 033C,8.33,17.03,2.65,27.57,62.66,90.01560062,15.64,2.13,13.32,0.39
E01004874,E01004874 : Bolton 033D,4.36,21.45,5.43,30.02,34.89,95.15885023,12.8,2.01,13.25,0.43
E01004876,E01004876 : Bolton 033E,10.56,19.19,5.09,33.72,54.41,94.01273885,14.29,2.27,12.49,0.44
E01004903,E01004903 : Bolton 034A,3.84,26.96,29.51,25.69,15.63,98.25783972,18.81,1.97,13.85,0.4
E01004904,E01004904 : Bolton 034B,3.88,28.98,21.11,23.68,25.51,96.47696477,18.47,1.95,13.6,0.46
E01004905,E01004905 : Bolton 034C,7.21,21.18,4.46,38.93,38.31,94.0564636,18.53,1.98,14.47,0.4
E01004907,E01004907 : Bolton 034D,8.74,19.42,2.94,25.5,44.12,89.52205882,17.66,1.94,14.45,0.47
E01004908,E01004908 : Bolton 034E,5.69,21.42,12.19,7.89,16.46,96.60107335,17.29,1.93,13.99,0.39
E01004909,E01004909 : Bolton 034F,5.22,18.84,5.92,21.03,40,93.91575663,18,1.92,14.4,0.44
E01004910,E01004910 : Bolton 034G,4.76,26.38,7.3,23.42,39.72,94.83870968,17.09,2.04,14.03,0.45
E01004933,E01004933 : Bolton 035A,2.94,29.33,22.43,18.96,14.9,97.2173913,11.27,2.56,12.57,0.48
E01004934,E01004934 : Bolton 035B,5,36.33,57.04,10.47,29.06,95.85585586,11.27,2.56,12.57,0.56
E01004935,E01004935 : Bolton 035C,2.9,32.56,38.53,27.07,16.96,97.19626168,11.03,2.34,12.13,0.4
E01004937,E01004937 : Bolton 035D,3.86,34.97,69.28,21.6,10.75,97.43589744,11.27,2.77,12.87,0.48
E01004940,E01004940 : Bolton 035E,3.05,26.2,31.68,4.29,11.92,96.85950413,10.97,2.5,12.23,0.36
E01005014,E01005014 : Bury 001A,3.1,37.71,15.66,34.61,39.79,96.83794466,10.68,1.63,10.28,0.26
E01005015,E01005015 : Bury 001B,5.06,30.31,10.63,52.69,43.67,93.12865497,11.16,1.85,10.87,0.62
E01005016,E01005016 : Bury 001C,3.31,44.15,7.46,69.44,23.42,94.52247191,10.7,1.63,10.37,0.47
E01005017,E01005017 : Bury 001D,2.93,39.1,24.68,34.11,22.09,97.02842377,10.67,1.63,10.94,0.43
E01005018,E01005018 : Bury 001E,5.27,35.54,10.22,50.97,37.9,94.88950276,10.12,1.55,10.49,0.44
