LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005683,E01005683 : Salford 017C,12.03,22.8,4.97,49.89,74.18,15.41 ,7.90 ,48.42,19.3,2.7,13.89,0.31
E01033980,E01033980 : Salford 017G,16.67,30.47,4.43,58.04,64.55,20.46 ,10.72 ,46.73,18.25,2.63,13.5,0.19
E01033981,E01033981 : Salford 017H,21.86,24.84,4.19,56.89,77.88,7.07 ,16.82 ,51.02,19.36,2.49,14.21,0.3
E01005622,E01005622 : Salford 018A,7,40.17,1.5,72.6,44.38,35.76 ,10.33 ,29.94,18.45,2.74,13.47,0.27
E01005623,E01005623 : Salford 018B,5.3,40.15,3.85,28.8,18.7,41.30 ,2.64 ,15.65,18.97,2.83,13.47,0.31
E01005626,E01005626 : Salford 018C,1.34,29.69,12.57,2.13,11.22,33.89 ,1.16 ,15.5,18.44,2.92,13.1,0.39
E01005628,E01005628 : Salford 018D,8.57,35.63,12.67,27,39.03,31.49 ,3.62 ,30.83,19.18,2.88,13.47,0.42
E01005725,E01005725 : Salford 019A,9.56,18.48,2.51,38.35,66.79,13.99 ,10.47 ,38.06,18.11,2.24,13.81,0.45
E01005726,E01005726 : Salford 019B,5.25,28.03,8.93,40.91,40.33,29.13 ,3.90 ,25.97,18.11,2.24,13.52,0.39
E01005727,E01005727 : Salford 019C,6.16,35.87,5.26,40.34,44.75,34.10 ,4.15 ,25.19,18.11,2.24,13.81,0.36
E01005728,E01005728 : Salford 019D,4.39,31.74,10.75,17.3,18.4,36.38 ,1.84 ,16.01,18.11,2.24,13.46,0.36
E01005733,E01005733 : Salford 019E,6.49,24.22,4.65,7.88,51.92,23.08 ,12.55 ,29.47,16.86,2.07,13.21,0.45
