2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005247 : Manchester 005A,"1,421",639,483,196,82,21
E01005248 : Manchester 005B,"1,331",591,439,205,70,26
E01005249 : Manchester 005C,"2,199","1,044",698,300,130,27
E01005250 : Manchester 005D,"2,237","1,143",663,299,102,30
E01005253 : Manchester 005E,"1,705",814,519,240,96,36
E01005254 : Manchester 005F,"1,603",801,522,203,59,18
E01005164 : Manchester 006A,"2,343","1,204",700,285,111,43
E01005205 : Manchester 006B,"2,191","1,055",672,284,146,34
E01005206 : Manchester 006C,"1,875",944,558,235,110,28
E01005207 : Manchester 006D,"2,018","1,110",614,194,83,17
E01005223 : Manchester 007A,"1,617",841,488,179,93,16
E01005224 : Manchester 007B,"2,118","1,195",606,205,94,18
E01005225 : Manchester 007C,"2,093","1,026",622,261,141,43
E01005226 : Manchester 007D,"1,938","1,088",537,219,85,9
E01005229 : Manchester 007E,"1,504",751,475,202,65,11
E01005145 : Manchester 008A,"3,006","1,615",902,314,127,48
E01005149 : Manchester 008C,"2,184","1,172",644,255,93,20
E01005165 : Manchester 008D,"2,349","1,203",677,310,128,31
E01005166 : Manchester 008E,"2,142","1,054",630,307,121,30
E01005167 : Manchester 008F,"2,315","1,217",743,250,73,32
E01034109 : Manchester 008G,"1,525",845,457,156,52,15
E01034110 : Manchester 008H,"1,497",776,488,170,52,11
E01005202 : Manchester 009A,"2,383","1,249",610,280,173,71
E01005203 : Manchester 009B,"2,024",929,594,295,147,59
E01005227 : Manchester 009D,"2,077","1,130",575,228,119,25
E01005228 : Manchester 009E,"2,251","1,177",623,278,136,37
E01033678 : Manchester 009F,"1,776",925,525,213,77,36
E01033679 : Manchester 009G,"1,397",629,399,206,115,48
E01005256 : Manchester 011A,"2,640","1,283",782,363,167,45
E01005257 : Manchester 011B,"2,009",947,600,289,135,38
E01005258 : Manchester 011C,"1,800",827,500,297,135,41
E01005259 : Manchester 011D,"1,773",797,554,244,135,43
E01005260 : Manchester 011E,"1,469",695,447,217,90,20
E01005093 : Manchester 012A,"1,842",890,504,293,127,28
E01005094 : Manchester 012B,"1,690",856,468,202,126,38
E01005097 : Manchester 012C,"1,950","1,026",504,256,122,42
E01005255 : Manchester 012D,"1,665",737,509,225,153,41
E01005261 : Manchester 012E,"1,786",843,498,257,132,56
E01005092 : Manchester 015A,"1,945",979,541,240,124,61
