LSOA21CD,2021 super output area - lower layer,ah4dent,ah4gp,ah4hosp,ah4phar
E01004933,E01004933 : Bolton 035A,3.909,4.9462,3.1817,1.5722
E01004934,E01004934 : Bolton 035B,4.0148,4.5019,3.9284,2.9
E01004935,E01004935 : Bolton 035C,3.0303,4.1118,2.303,1.1513
E01004937,E01004937 : Bolton 035D,3.2623,3.741,3.3372,2.9383
E01004940,E01004940 : Bolton 035E,4.1797,4.9489,3.4636,1.8054
E01005014,E01005014 : Bury 001A,0.6988,0.9334,0.9334,1.0291
E01005015,E01005015 : Bury 001B,3.5996,3.795,3.795,3.1587
E01005016,E01005016 : Bury 001C,1.0558,1.0873,1.0873,1.1955
E01005017,E01005017 : Bury 001D,2.0879,2.3431,2.2352,2.4513
E01005018,E01005018 : Bury 001E,1.7455,1.8816,1.3741,1.9898
E01005021,E01005021 : Bury 001F,3.017,3.03,1.5879,2.8363
E01005019,E01005019 : Bury 002A,3.954,2.628,2.1606,2.3427
E01005023,E01005023 : Bury 002B,4.0282,1.4607,3.1684,1.3591
E01005046,E01005046 : Bury 002C,3.7402,2.1373,2.8673,0.8717
E01005048,E01005048 : Bury 002D,4.2557,3.2304,2.5988,1.4049
E01005020,E01005020 : Bury 003A,2.6594,2.9146,2.8917,3.0228
E01005022,E01005022 : Bury 003B,5.2895,3.1454,4.5863,3.067
E01005047,E01005047 : Bury 003C,6.1571,5.7938,4.6865,4.4521
E01005049,E01005049 : Bury 003D,1.4284,1.4478,1.4478,1.2877
E01005051,E01005051 : Bury 003E,1.2755,1.2949,1.2949,1.2949
E01004976,E01004976 : Bury 004A,2.6284,2.6284,1.4171,2.1513
E01004977,E01004977 : Bury 004B,2.3938,2.3938,1.0639,1.9166
E01004978,E01004978 : Bury 004C,1.5701,1.5701,0.9299,1.0929
E01004981,E01004981 : Bury 004D,4.1581,4.1254,2.9468,3.652
E01004982,E01004982 : Bury 004E,3.7235,3.7235,2.5122,3.2464
E01004961,E01004961 : Bury 005A,1.7552,1.5931,1.0556,1.6356
